Product Name,Product Description,Product Categories,Product Price,Product Price per person,Minimum Price Per Person,Product Sub-category,Vegan,Gluten Free,Halal,Kind
Veggie Pad See-Ew,"Fresh rice noodle wok fried with gai lan, sprouts, cabbage, carrots, and egg",Thai,18,,,Individually-Packed-Noodles,FALSE,FALSE,FALSE,Individual
Veggie Pad Thai,"Rice noodle wok fried with sprouts, egg, green onions, tofu, prawns topped with crushed peanuts, and cilantro",Thai,18,,,Individually-Packed-Noodles,FALSE,FALSE,FALSE,Individual
"Veggie Panang Curry with Rice, Salad & Spring Roll",,Thai,19,,,Individually-Packed-Combos,FALSE,FALSE,FALSE,Individual
"Veggie Red Curry with Rice, Salad & Spring Roll",,Thai,19,,,Individually-Packed-Combos,FALSE,FALSE,FALSE,Individual
Veggie Sandwich Platter,"Freshly baked white baguette with roasted red pepper, roasted mushroom and pickles along with provolone, dressed lettuce, tomatoes, onions & mayo.",Sandwiches,300,15,,Sandwich-Platter,FALSE,FALSE,FALSE,Platter
Veggie Spring Roll Platter,,Vietnamese,120,6,,Sides-Platter,FALSE,FALSE,FALSE,Platter
Veggie Spring Rolls,,Japanese,100,5,,Sides-Platter,FALSE,FALSE,FALSE,Platter
Veggie Sushi Combo,"Yam Tempura Roll, Avocado & Cucumber Roll & Inari",Japanese,16,,,Individually-Packed-Sushi-Combos,FALSE,FALSE,FALSE,Individual
Veggie Teriyaki Rice Bowl,,Japanese,17,,,Individually-Packed-Bowls,FALSE,FALSE,FALSE,Individual
Vietnamese Xiu Mai Banh Mi,Minced pork cooked in flavorful house-made tomato sauce,Vietnamese,13,,,Individually-Packed-Banh-Mi,FALSE,FALSE,FALSE,Individual
Vietnamese Xiu Mai Banh Mi Platter,Minced pork cooked in flavorful house-made tomato sauce,Vietnamese,240,12,,Banh-Mi-Platter,FALSE,FALSE,FALSE,Platter
Wakame (Seaweed Salad),,Japanese,120,6,,Sides-Platter,FALSE,FALSE,FALSE,Platter
Water (12 Pack),,Snacks & Drinks,14,,14,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
White Cheddar Popcorn,,Snacks & Drinks,7,,7,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
XinJiang Cumin Beef,"Beef stir-fried with green peppers, cumin & chili flakes",Chinese,200,10,,Main-Platter,FALSE,FALSE,FALSE,Platter
XinJiang Cumin Beef with Chowmein,,Chinese,20,,,Individually-Packed-Chowmein-Combo,FALSE,FALSE,FALSE,Individual
XinJiang Cumin Beef with Fried Rice,,Chinese,20,,,Individually-Packed-Rice-Combo,FALSE,FALSE,FALSE,Individual
Yam Tempura,,Japanese,100,5,,Sides-Platter,FALSE,FALSE,FALSE,Platter
Zesty Zaatar Chicken Wrap,"Whole Wheat Tortilla, Field Greens, Chicken, Tomatoes, Sweet Potatoes, Green Onions, Za'Atar Garlic Sauce",Healthy,16,,,Wraps,FALSE,FALSE,FALSE,Individual
